t,th1,w1,th2,w2,l1,l2,l3,l4
4.04,0.334846,-3.59385,4.00748,1.87489,8.16258,0.997912,0.49883,-9.44138
4.08,0.192296,-3.5338,4.10219,2.89025,8.25047,1.02842,0.482121,-9.63867
4.12,0.0517472,-3.50369,4.24043,4.03825,8.30029,1.04893,0.459658,-9.78867
4.16,-0.0891805,-3.56239,4.42657,5.29001,8.39746,1.05679,0.405094,-9.91335
4.2,-0.235209,-3.76923,4.66624,6.74336,8.61487,1.05392,0.312184,-10.036
4.24,-0.393566,-4.18765,4.97168,8.61637,8.91805,1.04188,0.218013,-10.1137
4.28,-0.572503,-4.74303,5.36075,10.7733,8.80954,0.987397,0.24313,-9.75936
4.32,-0.764188,-4.6741,5.80556,10.9459,8.41978,1.51063,-0.0651623,-9.56702
4.36,-0.93641,-3.90808,6.20611,9.00877,8.73994,1.34269,-0.0380572,-9.96131
4.4,-1.07852,-3.23072,6.53313,7.46419,8.36238,1.34481,-0.015964,-9.74185
4.44,-1.19714,-2.72198,6.81193,6.5669,7.96952,1.38777,-0.0467404,-9.37263
4.48,-1.29753,-2.30863,7.06439,6.11806,7.65149,1.50558,-0.158819,-8.98622
4.52,-1.38244,-1.9421,7.30551,5.98066,7.43898,1.69637,-0.234859,-8.76872
4.56,-1.45333,-1.60886,7.54547,6.03888,7.3882,1.80793,-0.171757,-8.77099
4.6,-1.51187,-1.33106,7.78917,6.1381,7.54552,1.6735,-0.0855116,-8.80579
4.64,-1.56104,-1.14357,8.03492,6.123,7.75055,1.40314,-0.0218535,-8.81095
4.68,-1.60461,-1.04797,8.27697,5.96056,7.80552,1.19003,0.0292713,-8.78238
4.72,-1.64564,-1.01021,8.51093,5.73517,7.7059,1.06012,0.0714179,-8.70368
4.76,-1.68574,-0.997035,8.73611,5.53259,7.51646,0.988611,0.110591,-8.58251
4.8,-1.7255,-0.991437,8.95441,5.39438,7.28687,0.963551,0.15487,-8.44284
4.84,-1.76508,-0.987828,9.1687,5.33344,7.04811,0.9875,0.206817,-8.31136
4.88,-1.80454,-0.985533,9.38215,5.3524,6.83208,1.06375,0.25464,-8.20857
4.92,-1.84395,-0.984754,9.59795,5.45089,6.68693,1.16442,0.27448,-8.13192
4.96,-1.88332,-0.983168,9.81921,5.62328,6.63711,1.23141,0.253443,-8.04063
5,-1.92246,-0.970749,10.0485,5.8458,6.60327,1.25275,0.192419,-7.85926
5.04,-1.96051,-0.922971,10.2867,6.05594,6.50957,1.25954,0.0991231,-7.58102
5.08,-1.99534,-0.803666,10.5315,6.15832,6.66886,1.25817,0.124608,-7.71715
5.12,-2.02356,-0.592996,10.7773,6.10617,6.97227,1.27632,0.157587,-8.09757
5.16,-2.04178,-0.30856,11.0187,5.96118,7.04714,1.30424,0.138209,-8.26097
5.2,-2.04768,0.0187671,11.2542,5.81531,6.95062,1.30743,0.112127,-8.23799
5.24,-2.03997,0.370129,11.4846,5.71362,6.79214,1.24035,0.111609,-8.09758
5.28,-2.01785,0.738349,11.7119,5.65622,6.64888,1.05662,0.205431,-7.92743
5.32,-1.98072,1.1199,11.9374,5.62056,6.55903,0.851321,0.44538,-7.91012
5.36,-1.92815,1.50965,12.1614,5.57378,6.51742,1.05333,0.487423,-8.12767
5.4,-1.85996,1.89863,12.3826,5.47771,6.4947,1.49302,0.356575,-8.41085
5.44,-1.77643,2.27418,12.5984,5.29218,6.46572,1.87832,0.260192,-8.65583
5.48,-1.6784,2.6217,12.8043,4.97949,6.42121,2.19501,0.201153,-8.84863
5.52,-1.56725,2.92766,12.9946,4.50963,6.36534,2.4606,0.161027,-8.99895
5.56,-1.44487,3.18261,13.1627,3.86416,6.3071,2.68456,0.1279,-9.11887
5.6,-1.31337,3.38325,13.3014,3.0374,6.25245,2.87212,0.0951349,-9.21694
5.64,-1.17488,3.53368,13.4034,2.03551,6.20415,3.02667,0.0580924,-9.29648
5.68,-1.03118,3.64687,13.4621,0.874827,6.16608,3.1521,0.00982131,-9.35688
5.72,-0.883322,3.74653,13.4715,-0.422924,6.1451,3.25899,-0.0613321,-9.39732
5.76,-0.731167,3.86868,13.4266,-1.84542,6.15569,3.36147,-0.166334,-9.42091
5.8,-0.572884,4.06222,13.3219,-3.41728,6.23696,3.44661,-0.298769,-9.43565
5.84,-0.404442,4.3865,13.1501,-5.22063,6.40323,3.49098,-0.410276,-9.44784
5.88,-0.21977,4.86457,12.9007,-7.25734,6.36957,3.61997,-0.338534,-9.44572
5.92,-0.0167703,5.2083,12.5785,-8.55123,7.36414,2.06555,0.318019,-9.41325
5.96,0.187526,4.91883,12.2515,-7.45963,7.93868,2.01808,-0.320403,-9.4129
6,0.374325,4.43351,11.9937,-5.42117,7.8956,2.08791,-0.50322,-9.43209
6.04,0.544335,4.09435,11.8146,-3.58379,7.85222,1.99785,-0.442693,-9.45509
6.08,0.703704,3.89192,11.7038,-1.98591,7.8795,1.85439,-0.327573,-9.47887
6.12,0.856707,3.76656,11.6537,-0.541678,7.9363,1.70873,-0.204317,-9.50023
6.16,1.00537,3.6677,11.6589,0.778545,7.99128,1.58181,-0.0879136,-9.51952
6.2,1.14997,3.55765,11.7142,1.96404,8.03112,1.48413,0.0136009,-9.54141
6.24,1.28949,3.41112,11.8139,2.99232,8.0521,1.42789,0.0925191,-9.57394
6.28,1.42217,3.21388,11.9512,3.84549,8.05512,1.42871,0.140007,-9.62662
6.32,1.54586,2.96089,12.1191,4.51587,8.04655,1.49518,0.150339,-9.70702
6.36,1.65833,2.65485,12.3101,5.00803,8.04008,1.61403,0.128558,-9.81666
6.4,1.75766,2.30497,12.5176,5.33982,8.05388,1.75027,0.0904489,-9.94886
6.44,1.84233,1.92489,12.7356,5.54149,8.1024,1.86685,0.0525623,-10.0909
6.48,1.91144,1.52958,12.9597,5.65173,8.19132,1.94145,0.0247004,-10.2292
6.52,1.96467,1.13218,13.187,5.71227,8.31975,1.96722,0.0100498,-10.3526
6.56,2.00212,0.742014,13.4165,5.76308,8.48225,1.94712,0.0082018,-10.4535
6.6,2.0242,0.364638,13.6484,5.83859,8.66582,1.89071,0.0173481,-10.524
6.64,2.03151,0.00433025,13.8843,5.96148,8.84232,1.81267,0.035089,-10.5513
6.68,2.02489,-0.329611,14.1259,6.12727,8.95639,1.73231,0.0581429,-10.5099
6.72,2.0058,-0.61387,14.3743,6.27874,8.9167,1.67748,0.0800528,-10.3605
6.76,1.97692,-0.813723,14.6266,6.31228,8.64601,1.70256,0.081112,-10.1003
6.8,1.94204,-0.915483,14.8769,6.17729,8.29419,1.84486,0.0361967,-9.90528
6.84,1.90462,-0.947154,15.1195,5.94455,8.20051,1.8925,0.00290162,-9.93066
6.88,1.86667,-0.94764,15.3526,5.7173,8.29259,1.78551,-0.00234508,-10.0178
6.92,1.82892,-0.939886,15.5778,5.55409,8.46234,1.60464,-0.00386743,-10.0868
6.96,1.79148,-0.931932,15.798,5.4747,8.67652,1.41757,-0.00857619,-10.1525
7,1.75435,-0.924767,16.0169,5.4835,8.90841,1.27894,-0.0173153,-10.2375
7.04,1.7175,-0.917527,16.2379,5.58097,9.14025,1.21439,-0.0306723,-10.3489
7.08,1.68094,-0.911274,16.4645,5.7636,9.35361,1.22919,-0.0507633,-10.4758
7.12,1.64448,-0.91444,16.6999,6.01165,9.51375,1.32614,-0.0823544,-10.5939
7.16,1.60734,-0.951514,16.9455,6.26371,9.55584,1.522,-0.133666,-10.6747
7.2,1.56733,-1.06554,17.1995,6.40684,9.40673,1.83961,-0.209933,-10.7065
7.24,1.5206,-1.28911,17.4555,6.36316,9.13407,2.18073,-0.285647,-10.7213
7.28,1.46296,-1.60443,17.7072,6.21841,9.03613,2.24826,-0.289297,-10.785
7.32,1.39162,-1.96834,17.9542,6.16071,9.18209,2.04145,-0.177765,-10.9633
7.36,1.30508,-2.36458,18.2032,6.34338,9.47316,1.79406,-0.0517128,-11.2411
7.4,1.20172,-2.81681,18.4664,6.88511,9.84944,1.65111,-0.0320415,-11.5411
7.44,1.07822,-3.38385,18.7609,7.94398,10.2708,1.59867,-0.0966755,-11.7926
7.48,0.928563,-4.12584,19.1113,9.68298,10.564,1.59803,-0.177925,-11.8268
7.52,0.749003,-4.75957,19.5346,11.211,9.3312,1.85767,-0.243502,-10.6154
7.56,0.561023,-4.50974,19.9674,10.0186,10.6884,1.38006,-0.11295,-11.7572
7.6,0.391638,-3.97898,20.3248,7.88966,10.5289,1.40947,-0.018376,-11.9209
7.64,0.239782,-3.65056,20.6052,6.21058,10.2256,1.42223,0.0999493,-11.8236
7.68,0.0970901,-3.51023,20.8259,4.85959,10.03,1.42849,0.192367,-11.6965
7.72,-0.0427226,-3.49694,20.9958,3.65284,9.92889,1.42786,0.247791,-11.5626
7.76,-0.183602,-3.55393,21.1193,2.53855,9.82937,1.42329,0.302154,-11.41
7.8,-0.327188,-3.62265,21.201,1.57796,9.62827,1.41746,0.423261,-11.2355
7.84,-0.472868,-3.65135,21.249,0.876952,9.22623,1.41361,0.708905,-11.0549
7.88,-0.618341,-3.60935,21.2756,0.507436,8.43655,1.50156,1.27701,-10.8913
7.92,-0.760579,-3.49021,21.2941,0.473403,8.10947,1.87286,1.10731,-10.7631
7.96,-0.896677,-3.30532,21.3172,0.720641,8.91956,1.66873,0.40362,-10.6874
8,-1.02442,-3.07684,21.3543,1.15914,9.29413,1.61429,0.0267471,-10.6756
8.04,-1.1426,-2.8317,21.4111,1.68702,9.46151,1.5878,-0.139729,-10.714
8.08,-1.25107,-2.59489,21.4893,2.21659,9.52288,1.55848,-0.190063,-10.7713
8.12,-1.35054,-2.38359,21.5877,2.69403,9.54058,1.51529,-0.183873,-10.8282
8.16,-1.4422,-2.20537,21.7039,3.10219,9.56078,1.45734,-0.153307,-10.8858
8.2,-1.52742,-2.06063,21.8351,3.44944,9.61193,1.39321,-0.114931,-10.9539
8.24,-1.60746,-1.94612,21.9793,3.75574,9.70383,1.33613,-0.0777702,-11.0389
8.28,-1.68345,-1.85734,22.1353,4.0428,9.83182,1.29715,-0.0461768,-11.1379
8.32,-1.75632,-1.78907,22.3027,4.32809,9.98088,1.28392,-0.0208742,-11.242
8.36,-1.82675,-1.73378,22.4816,4.6182,10.124,1.30535,0.000534216,-11.3399
8.4,-1.89502,-1.67769,22.672,4.89751,10.2147,1.37745,0.0248711,-11.4226
8.44,-1.96064,-1.59662,22.8726,5.1162,10.1864,1.52401,0.0649889,-11.4894
8.48,-2.02202,-1.46171,23.0796,5.20834,10.0006,1.7466,0.127582,-11.5466
8.52,-2.07669,-1.26207,23.2874,5.16236,9.77193,1.9337,0.183693,-11.5867
8.56,-2.12234,-1.0149,23.4917,5.05127,9.69665,1.93792,0.183121,-11.5909
8.6,-2.15756,-0.74343,23.6918,4.96157,9.7626,1.83181,0.105668,-11.5669
8.64,-2.18165,-0.458869,23.8895,4.93815,9.89266,1.72618,-0.0176617,-11.5543
8.68,-2.19411,-0.161644,24.0879,4.99018,10.0467,1.66068,-0.122403,-11.6045
8.72,-2.19436,0.152255,24.2897,5.11043,10.2038,1.64165,-0.167906,-11.7385
8.76,-2.18165,0.487011,24.4974,5.28544,10.3527,1.66606,-0.16803,-11.9274
8.8,-2.15509,0.844514,24.713,5.49792,10.4858,1.72916,-0.155968,-12.127
8.84,-2.11381,1.2226,24.9375,5.72595,10.5962,1.82544,-0.152554,-12.3066
8.88,-2.05711,1.61379,25.1709,5.94177,10.6768,1.94814,-0.1649,-12.4497
8.92,-1.9847,2.00505,25.4122,6.11288,10.7232,2.08873,-0.193496,-12.5489
8.96,-1.89692,2.37985,25.6589,6.20765,10.7391,2.23578,-0.236908,-12.6056
9,-1.79475,2.72261,25.9075,6.20547,10.7449,2.37237,-0.292845,-12.6326
9.04,-1.67967,3.02405,26.1541,6.10696,10.7799,2.47432,-0.355818,-12.6569
9.08,-1.55338,3.2838,26.3951,5.9365,10.889,2.51649,-0.414213,-12.7127
9.12,-1.41743,3.50855,26.6286,5.73379,11.0926,2.49187,-0.453308,-12.8279
9.16,-1.27304,3.70735,26.854,5.54049,11.371,2.4226,-0.464664,-13.0111
9.2,-1.12109,3.8875,27.0724,5.39042,11.6878,2.34019,-0.451143,-13.2515
9.24,-0.962237,4.05283,27.2861,5.30659,12.0163,2.2633,-0.422004,-13.5293
9.28,-0.797055,4.20379,27.498,5.3035,12.3438,2.19703,-0.385816,-13.8266
9.32,-0.626152,4.33839,27.7116,5.39123,12.6651,2.14116,-0.348149,-14.1315
9.36,-0.450248,4.45318,27.9306,5.57947,12.977,2.09589,-0.312551,-14.4374
9.4,-0.270223,4.54352,28.1594,5.87988,13.2747,2.06345,-0.281331,-14.7401
9.44,-0.0871797,4.60272,28.4027,6.30537,13.5493,2.04733,-0.254683,-15.036
9.48,0.0974324,4.61938,28.6656,6.86388,13.7871,2.05085,-0.228649,-15.3218
9.52,0.281532,4.57241,28.9534,7.54438,13.9684,2.0773,-0.19432,-15.5951
9.56,0.461909,4.42604,29.2702,8.29814,14.0745,2.13335,-0.14336,-15.8576
9.6,0.63365,4.13237,29.617,9.03334,14.1091,2.23089,-0.0863277,-16.1173
9.64,0.789969,3.65053,29.9912,9.65243,14.132,2.36743,-0.0667442,-16.3816
9.68,0.923069,2.97411,30.3872,10.1276,14.2268,2.50113,-0.115581,-16.642
9.72,1.02573,2.13617,30.8007,10.5538,14.4197,2.5879,-0.210903,-16.8719
9.76,1.0924,1.18086,31.2337,11.1427,14.7182,2.59203,-0.323134,-17.0351
9.8,1.11907,0.143476,31.6981,12.1682,15.0673,2.51252,-0.43836,-17.0564
9.84,1.10462,-0.811112,32.2128,13.5407,14.9889,2.44797,-0.558209,-16.5954
9.88,1.06474,-1.00916,32.7626,13.589,14.2142,2.67179,-0.33404,-16.2623
9.92,1.03518,-0.408656,33.2791,12.191,14.6964,2.61984,-0.322969,-16.9071
9.96,1.03293,0.28705,33.7442,11.1835,14.4166,2.66141,-0.227127,-16.9053
10,1.05724,0.918658,34.1828,10.8483,14.4079,2.32725,-0.103027,-16.7051
10.04,1.10582,1.50413,34.6193,11.0547,14.6024,1.90051,-0.102042,-16.3924
10.08,1.17687,2.03299,35.0727,11.6643,14.7085,1.88855,-0.369329,-16.0747
10.12,1.26613,2.37983,35.5538,12.3621,14.4081,2.12108,-0.246585,-15.9916
10.16,1.36123,2.2829,36.054,12.5038,13.7119,2.44805,0.336341,-16.1795
10.2,1.44148,1.65961,36.5426,11.8296,14.3964,1.88346,0.172771,-16.2524
10.24,1.49058,0.777198,36.9976,10.9394,14.3512,1.62369,0.0482805,-15.983
10.28,1.50328,-0.140022,37.4226,10.3961,14.124,2.01165,-0.643481,-15.5573
10.32,1.4795,-1.05161,37.8375,10.4703,14.401,2.24953,-0.886871,-15.8259
10.36,1.41852,-2.00784,38.2712,11.364,14.925,2.11849,-0.792672,-16.1724
10.4,1.31917,-2.90493,38.7555,12.8108,14.705,2.0132,-0.804097,-15.6223
10.44,1.19767,-2.99404,39.2714,12.572,14.8449,2.05044,-0.433412,-16.2028
10.48,1.08909,-2.40551,39.7416,10.9413,14.8404,2.18404,-0.49428,-16.4944
10.52,1.0044,-1.84951,40.1559,9.90826,14.3139,2.34996,-0.457363,-16.2846
10.56,0.939773,-1.3938,40.5441,9.61131,14.2244,2.05252,-0.347946,-15.9753
10.6,0.892208,-0.992845,40.9324,9.88769,14.56,1.56276,-0.243984,-15.7855
10.64,0.859145,-0.690172,41.3393,10.4637,14.6142,1.78153,-0.320481,-15.8132
10.68,0.832762,-0.701215,41.7647,10.6873,13.9555,2.7452,-0.355563,-16.0268
10.72,0.797088,-1.13901,42.1847,10.2464,13.9029,2.88119,-0.432836,-16.1558
10.76,0.738916,-1.78671,42.5851,9.84795,14.0722,2.62691,-0.75716,-15.9246
10.8,0.653133,-2.51831,42.9813,10.1039,14.6096,2.23133,-1.21848,-15.7032
10.84,0.535364,-3.40903,43.4071,11.3938,15.2573,2.00008,-1.06064,-16.212
10.88,0.376993,-4.51115,43.9107,13.895,15.4614,1.89606,-0.864554,-16.2622
10.92,0.186741,-4.71667,44.4901,14.3087,15.3226,1.92785,-0.534199,-16.4449
10.96,0.017182,-3.72463,45.0102,11.6743,15.3531,1.9376,-0.677411,-16.6039
11,-0.11441,-2.90263,45.4399,10.0231,14.7214,1.97641,-0.682634,-16.1047
11.04,-0.217846,-2.29399,45.8257,9.40255,14.1706,1.9433,-0.746981,-15.3798
11.08,-0.299382,-1.80023,46.2009,9.43971,14.0909,1.73298,-0.699959,-14.9658
11.12,-0.363831,-1.46026,46.5841,9.71021,13.8908,1.61855,-0.278871,-14.9301
11.16,-0.420361,-1.42234,46.973,9.66163,13.9145,1.90523,-0.1056,-15.4335
11.2,-0.481413,-1.66226,47.3533,9.3531,14.0309,1.91919,-0.247182,-15.5804
11.24,-0.554981,-2.03074,47.7248,9.29878,14.1573,1.53192,-0.393595,-15.33
11.28,-0.645113,-2.49575,48.1048,9.8153,14.7115,1.26349,-0.49104,-15.573
11.32,-0.756798,-3.1214,48.521,11.1577,15.2895,1.35592,-0.46339,-16.1657
11.36,-0.896705,-3.84412,49.0088,13.2304,15.3206,1.45204,-0.365206,-16.1534
11.4,-1.05211,-3.70538,49.5506,13.2971,15.0543,2.14038,-0.781094,-16.1536
11.44,-1.18057,-2.68271,50.0444,11.4091,15.1092,1.90413,-0.951449,-16.0398
11.48,-1.26799,-1.71105,50.4768,10.393,14.5492,1.95939,-1.08903,-15.5111
11.52,-1.31857,-0.823847,50.8888,10.3511,14.4825,2.03608,-0.361073,-16.2072
11.56,-1.334,0.0494598,51.3143,11.0135,14.7417,2.03094,-0.139696,-16.5346
11.6,-1.31595,0.81105,51.7735,11.9206,14.5055,2.04844,-0.015914,-16.2748
11.64,-1.27517,1.12914,52.2586,12.1562,14.3257,1.9941,-0.773899,-15.243
11.68,-1.23328,0.89713,52.7327,11.4538,14.8831,1.94634,-0.536768,-16.1135
11.72,-1.20648,0.42772,53.1737,10.6419,14.7537,1.82589,-0.487224,-16.0756
11.76,-1.19946,-0.0778522,53.5898,10.2517,14.4956,1.49645,-0.563955,-15.5111
11.8,-1.2129,-0.599511,54.0015,10.4344,14.6289,1.22407,-0.57039,-15.359
11.84,-1.24809,-1.16799,54.4335,11.2799,15.0528,1.44374,-0.458938,-15.9823
11.88,-1.30591,-1.6798,54.9106,12.5599,14.9358,1.60309,-0.517078,-15.7635
