t,th1,w1,th2,w2,l1,l2,l3,l4
0,1,-3,-1,5,0,0,0,0
0.04,0.874141,-3.31025,-0.782785,5.91442,0.241223,0.0442639,0.0490685,-0.391533
0.08,0.733339,-3.75993,-0.521421,7.24144,0.691699,0.0788524,0.0702504,-0.867543
0.12,0.570421,-4.42366,-0.194889,9.19679,0.973141,0.199514,0.0570005,-1.09903
0.16,0.378544,-5.10398,0.216833,11.176,0.489506,0.526899,0.263815,-0.94814
0.2,0.175363,-4.89522,0.656618,10.2943,1.92406,-0.391831,0.299503,-1.59115
0.24,-0.00751325,-4.26188,1.02145,7.96399,1.70512,-0.231,0.232653,-1.67765
0.28,-0.168726,-3.83935,1.30103,6.10481,1.34114,-0.0161084,0.249668,-1.63504
0.32,-0.317373,-3.62053,1.51518,4.65014,1.02341,0.252699,0.298066,-1.61538
0.36,-0.460075,-3.53071,1.67566,3.39885,0.787514,0.498019,0.366755,-1.61568
0.4,-0.600721,-3.50815,1.78883,2.28219,0.768235,0.520609,0.47233,-1.62925
0.44,-0.740904,-3.49947,1.8604,1.32878,0.953952,0.290832,0.642768,-1.67018
0.48,-0.880307,-3.46381,1.89812,0.598311,1.14296,0.00425603,0.892033,-1.75883
0.52,-1.01735,-3.37976,1.9117,0.124092,1.25596,-0.238398,1.20202,-1.89999
0.56,-1.15,-3.24422,1.91132,-0.10545,1.29451,-0.408606,1.52978,-2.0773
0.6,-1.27631,-3.06531,1.90595,-0.134248,1.27358,-0.502914,1.83499,-2.26489
0.64,-1.39481,-2.85569,1.90248,-0.0200661,1.20657,-0.537403,2.10052,-2.44005
0.68,-1.50454,-2.62873,1.90546,0.178323,1.1071,-0.540653,2.32853,-2.58794
0.72,-1.60504,-2.39648,1.91717,0.408617,0.994408,-0.541467,2.52301,-2.70108
0.76,-1.69631,-2.16841,1.93801,0.629526,0.895675,-0.554714,2.6722,-2.77762
0.8,-1.77865,-1.95075,1.96702,0.812955,0.837486,-0.562342,2.73685,-2.81996
0.84,-1.85255,-1.74642,2.00234,0.943566,0.828942,-0.520693,2.67315,-2.83379
0.88,-1.91855,-1.55565,2.04173,1.01615,0.857858,-0.419149,2.49417,-2.82764
0.92,-1.97716,-1.37692,2.08288,1.03209,0.905142,-0.28883,2.26372,-2.81283
0.96,-2.02883,-1.20785,2.12361,0.99625,0.956684,-0.156119,2.03769,-2.80336
1,-2.07389,-1.04593,2.16197,0.914839,1.00504,-0.030367,1.84832,-2.81414
1.04,-2.11257,-0.888916,2.19627,0.794255,1.04716,0.0872839,1.71093,-2.85648
1.08,-2.14504,-0.735043,2.22507,0.640663,1.08258,0.197553,1.62738,-2.93311
1.12,-2.1714,-0.58311,2.24716,0.459943,1.11265,0.300518,1.58906,-3.03773
1.16,-2.19171,-0.432444,2.26158,0.257766,1.14055,0.39467,1.58276,-3.15973
1.2,-2.20601,-0.282823,2.26757,0.0396917,1.17159,0.476537,1.5961,-3.28926
1.24,-2.21435,-0.134364,2.26462,-0.188806,1.21307,0.540863,1.61968,-3.41949
1.28,-2.21678,0.0126145,2.2524,-0.422362,1.27331,0.581833,1.64694,-3.54643
1.32,-2.21336,0.15773,2.23083,-0.655797,1.35921,0.59555,1.67316,-3.6681
1.36,-2.20419,0.300689,2.2,-0.884192,1.47362,0.582688,1.69474,-3.78376
1.4,-2.18934,0.441433,2.16022,-1.10293,1.61439,0.549212,1.7087,-3.89327
1.44,-2.1689,0.580266,2.11196,-1.30768,1.77597,0.50438,1.71273,-3.99686
1.48,-2.14293,0.717988,2.05585,-1.49421,1.95185,0.457648,1.70541,-4.09489
1.52,-2.11146,0.855987,1.99272,-1.65826,2.13613,0.416497,1.68638,-4.18765
1.56,-2.07442,0.9963,1.92355,-1.79522,2.32353,0.385771,1.65647,-4.27522
1.6,-2.03169,1.14158,1.84953,-1.90011,2.50864,0.368022,1.61738,-4.35714
1.64,-1.98299,1.29488,1.77203,-1.96815,2.68494,0.364092,1.57117,-4.43193
1.68,-1.92795,1.45902,1.69261,-1.99655,2.84408,0.3735,1.51958,-4.4965
1.72,-1.8661,1.63559,1.61281,-1.98807,2.97613,0.394784,1.46303,-4.54566
1.76,-1.79695,1.82345,1.53388,-1.9562,3.07067,0.427082,1.39876,-4.57245
1.8,-1.72014,2.01776,1.45625,-1.92921,3.11858,0.475298,1.31727,-4.57015
1.84,-1.63555,2.21058,1.37892,-1.94921,3.11308,0.559237,1.19861,-4.53732
1.88,-1.54342,2.39378,1.29906,-2.06347,3.04933,0.714692,1.02147,-4.48639
1.92,-1.44423,2.56347,1.21206,-2.31118,2.92475,0.96544,0.798767,-4.45062
1.96,-1.33847,2.72411,1.11209,-2.71406,2.74536,1.294,0.587473,-4.4701
2,-1.22624,2.89041,0.99277,-3.27922,2.54499,1.65238,0.424967,-4.55662
2.04,-1.10684,3.08733,0.847463,-4.01717,2.40479,1.97367,0.299434,-4.69393
2.08,-0.978367,3.35118,0.668558,-4.97099,2.40038,2.21585,0.188519,-4.86663
2.12,-0.837158,3.73495,0.44548,-6.25198,2.51882,2.41139,0.093385,-5.06013
2.16,-0.677048,4.30536,0.161566,-8.03841,2.72475,2.52857,0.0788399,-5.23485
2.2,-0.490927,4.9763,-0.202077,-10.0494,2.89159,2.1313,0.564943,-5.28674
2.24,-0.287883,5.02312,-0.612305,-9.94973,2.57911,2.43034,0.634561,-5.3534
2.28,-0.0974845,4.47886,-0.968841,-7.78408,2.38536,2.89141,0.187365,-5.38226
2.32,0.0725546,4.06086,-1.23844,-5.76878,2.46854,2.62412,0.219166,-5.35635
2.36,0.230145,3.84768,-1.4352,-4.11302,2.66439,2.31464,0.325107,-5.36796
2.4,0.3822,3.77268,-1.56976,-2.63428,2.92375,2.03313,0.423822,-5.4003
2.44,0.532963,3.77354,-1.64708,-1.24462,3.20262,1.77565,0.498432,-5.42796
2.48,0.684389,3.79794,-1.67055,0.0524677,3.47065,1.5456,0.549318,-5.4506
2.52,0.836576,3.80642,-1.64464,1.21829,3.71464,1.35876,0.577208,-5.4844
2.56,0.988384,3.77661,-1.5752,2.22662,3.93092,1.22915,0.585046,-5.54563
2.6,1.13809,3.70103,-1.4686,3.07868,4.11777,1.15634,0.584923,-5.6426
2.64,1.28386,3.58017,-1.33076,3.79188,4.27212,1.12774,0.593248,-5.7736
2.68,1.42393,3.41608,-1.16687,4.38312,4.38942,1.13021,0.618973,-5.92837
2.72,1.55658,3.2094,-0.981633,4.85929,4.46576,1.15752,0.66043,-6.09439
2.76,1.68011,2.95977,-0.779697,5.21728,4.50149,1.20906,0.710023,-6.2631
2.8,1.79281,2.6684,-0.565907,5.45132,4.50554,1.28266,0.759287,-6.43104
2.84,1.89309,2.34076,-0.345238,5.56234,4.49716,1.36689,0.80244,-6.59669
2.88,1.97972,1.98735,-0.122391,5.56349,4.50081,1.44096,0.838214,-6.7574
2.92,2.05192,1.62183,0.098698,5.47912,4.53506,1.48545,0.86898,-6.90884
2.96,2.10949,1.2577,0.315199,5.33918,4.60628,1.49192,0.898211,-7.04678
3,2.1527,0.905574,0.525488,5.17318,4.71243,1.4619,0.928609,-7.16876
3.04,2.18218,0.571828,0.72905,5.00669,4.84903,1.4014,0.961643,-7.27435
3.08,2.19872,0.258717,0.926295,4.86036,5.0109,1.31812,0.99779,-7.36446
3.12,2.20314,-0.0347405,1.11837,4.75055,5.19112,1.22076,1.03688,-7.44012
3.16,2.19617,-0.311444,1.307,4.68977,5.37909,1.11854,1.0784,-7.50097
3.2,2.17841,-0.574378,1.4943,4.68495,5.557,1.02107,1.12198,-7.54355
3.24,2.15039,-0.823724,1.68248,4.7312,5.69413,0.938733,1.16852,-7.55967
3.28,2.11277,-1.053,1.87312,4.8005,5.74318,0.883412,1.22166,-7.53745
3.32,2.06661,-1.24802,2.0661,4.83765,5.65529,0.870445,1.28484,-7.47197
3.36,2.01357,-1.39605,2.25895,4.78812,5.4362,0.919649,1.33962,-7.38596
3.4,1.95553,-1.49995,2.44785,4.6432,5.20356,1.02554,1.32993,-7.32637
3.44,1.89393,-1.57719,2.6296,4.43809,5.08857,1.12178,1.2436,-7.31848
3.48,1.82945,-1.64658,2.80261,4.21074,5.08674,1.17843,1.13189,-7.35243
3.52,1.76213,-1.72119,2.96642,3.97939,5.14468,1.21992,1.02467,-7.41242
3.56,1.69158,-1.80913,3.12091,3.7442,5.23211,1.26965,0.92772,-7.48974
3.6,1.61714,-1.91613,3.26576,3.49429,5.33373,1.33963,0.84158,-7.57983
3.64,1.53797,-2.04723,3.40003,3.21263,5.4426,1.43105,0.76652,-7.6792
3.68,1.45298,-2.20697,3.52209,2.87996,5.56125,1.53275,0.703277,-7.78498
3.72,1.36099,-2.3982,3.62954,2.48084,5.70616,1.61666,0.654144,-7.89583
3.76,1.26073,-2.61933,3.71964,2.01412,5.90938,1.63679,0.623938,-8.01304
3.8,1.15116,-2.86099,3.7901,1.50641,6.20187,1.5502,0.618157,-8.14146
3.84,1.03182,-3.10456,3.84042,1.02018,6.57776,1.36365,0.634808,-8.2897
3.88,0.903105,-3.325,3.87322,0.646932,6.98904,1.15145,0.652162,-8.46856
3.92,0.766469,-3.49679,3.89501,0.486073,7.38315,1.00443,0.636508,-8.68563
3.96,0.624276,-3.60039,3.91605,0.619952,7.72448,0.954016,0.585272,-8.93635
4,0.479454,-3.62852,3.94912,1.08997,7.98933,0.965767,0.531796,-9.19893
