t,th1,w1,th2,w2,l1,l2,l3,l40,1,-3,-1,5,0,0,0,0
2.48,0.700534,3.7098,-1.64511,-0.648429,14.2497,0.479321,-15.2243,0
2.52,0.849047,3.71238,-1.64816,0.469782,15.1511,0.521629,-15.2753,0
2.56,0.997107,3.68423,-1.60978,1.42042,16.4383,0.424797,-15.3502,0
2.6,1.14324,3.61582,-1.53683,2.19977,17.698,0.42764,-15.3961,0
2.64,1.28586,3.50887,-1.4358,2.82864,18.8816,0.45113,-15.4134,0
2.68,1.42352,3.36943,-1.31215,3.33614,19.927,0.471869,-15.4122,0
2.72,1.55506,3.20334,-1.1702,3.74676,20.7871,0.488938,-15.3994,0
2.76,1.67948,3.01436,-1.01351,4.07456,21.4429,0.506844,-15.3797,0
2.8,1.79592,2.80416,-0.845287,4.32319,21.9025,0.531473,-15.3576,0
2.84,1.90354,2.57351,-0.668749,4.48964,22.1959,0.568661,-15.3374,0
2.88,2.00155,2.32395,-0.487271,4.56966,22.3682,0.622634,-15.3237,0
2.92,2.08925,2.05903,-0.304337,4.56288,22.4676,0.69441,-15.3192,0
2.96,2.16615,1.78473,-0.123319,4.47544,22.5348,0.780974,-15.3245,0
3,2.23201,1.50852,0.0527832,4.31947,22.5973,0.875499,-15.3376,0
3.04,2.28691,1.23802,0.221532,4.11045,22.6699,0.968685,-15.3563,0
3.08,2.33121,0.979629,0.381122,3.86406,22.7589,1.05147,-15.3791,0
3.12,2.3655,0.737765,0.530342,3.594,22.8643,1.11826,-15.4058,0
3.16,2.39048,0.514727,0.668472,3.31106,22.9819,1.16876,-15.4372,0
3.2,2.40693,0.310957,0.795162,3.02315,23.105,1.2071,-15.474,0
3.24,2.4156,0.125475,0.910334,2.73591,23.2274,1.23953,-15.5171,0
3.28,2.41719,-0.0436855,1.0141,2.45343,23.3443,1.27216,-15.5664,0
3.32,2.41229,-0.199108,1.10671,2.17897,23.4536,1.3098,-15.6219,0
3.36,2.40141,-0.34372,1.18856,1.9155,23.5553,1.3557,-15.6829,0
3.4,2.3849,-0.480597,1.26014,1.66609,23.6504,1.41174,-15.7486,0
3.44,2.36302,-0.612822,1.32208,1.43409,23.7405,1.47866,-15.8179,0
